Language,original,english,german,czech,russian,polish,hungarian,italian,spanish,french,portuguese,japanese,chinesesimp,chinese,
min_quantity,min. quantity,min. quantity,min. Anzahl,Min. KS,минимум количество,min. Ilość,min. Mennyiség,min. quantità,min. cantidad,min. quantité,min. quantidade,分 量,分钟 数量,分鐘 數量,
accepted,accepted,accepted,angenommene,Akceptovane,Принято,przyjęty,elfogadott,accettato,aceptado,accepté,aceitaram,受け入れた,公认,公認,
not_accepted,not accepted,not accepted,nicht angenommene,Neakceptovane,Отклонено,nie zaakceptowany,nem elfogadott,non accettato,rechazado,pas accepté,Não aceito,受け入れられません,不接受,不接受,
show_only_direct_offers,Show only instant buy,Show only instant buy,Zeige nur Sofortkauf,Pouze KUP IHNED,Только мгновенный обмен,Pokaż tylko natychmiastowy zakup,Csak az azonnali vásárlás megjelenítése,Mostra solo acquisto istantaneo,Mostrar solo compra instantánea,Afficher uniquement l'achat instantané,Mostrar apenas a compra instantânea,インスタント購入のみを表示,只显示即时购买,只顯示即時購買,
show_only_bid_offers,Show only auction,Show only auction,Zeige nur Auktionen,Pouze AUKCE,Только аукцион только аукцион,Pokaż tylko aukcję,Csak aukció megjelenítése,Mostra solo asta,Mostrar solo subasta,Afficher uniquement les enchères,Mostrar apenas leilão,オークションのみを表示,仅显示拍卖,僅顯示拍賣,
show_all_offers_types,Show all offer types,Show all offer types,Zeige alle Angebotstypen,Vsechny nabidky prodejcu.,Все типы заказов,Pokaż wszystkie typy ofert,Az összes ajánlat típus megjelenítése,Mostra tutti i tipi di offerta,Mostrar todos los tipos de oferta,Afficher tous les types d'offres,Mostrar todos os tipos de oferta,すべてのオファータイプを表示,显示所有优惠类型,顯示所有優惠類型,
offer_type,Offertype,Offertype,Angebotstyp,Typ nabidky,Тип заказа,Offertype,Offertype,Offertype,Offertype,Offertype,Tipo de oferta,オファータイプ,优惠类型,優惠類型,
instant_buy,Instant buy,Instant buy,Sofortkauf,KUP IHNED,Мгновенный обмен,Natychmiastowy zakup,Azonnali vásárlás,Acquisto istantaneo,Compra instantánea,Achat instantané,Compra instantânea,即購入,即时购买,即時購買,
auction,Auction,Auction,Auktionen,AUKCE,Аукцион,Aukcja,Árverés,vendita all'asta,Subasta,Enchères,Leilão,競売,拍卖,拍賣,
filter,filter,filter,filter,FILTR,Фильтр,filtr,szűrő,filtro,filtrar,filtre,filtro,フィルタ,过滤,過濾,
your_trade_was_successfull,Your trade was successfull.,Your trade was successfull.,Dein Handel war erfolgreich.,Tvuj obchod byl dokoncen.,Обмен прошел успешно!,Twój handel się powiódł.,Kereskedése sikeres volt.,Il tuo commercio ha avuto successo.,Tu operación fue exitosa.,Votre échange a réussi.,Seu comércio foi bem sucedido.,あなたの取引は成功しました。,您的交易成功了。,您的交易成功了。,
you_offer_to_less_items,You offer to less items.,You offer to less items.,Du hast zu wenig Gegenstände geboten.,Tvoje nabidka obsahuje mene polozek!,Вы предложили слишком мало предметов.,Zaoferujesz mniej przedmiotów.,Kínál kevesebb terméket.,Offri a meno articoli.,Ofreces menos artículos.,Vous offrez à moins d'articles.,Você oferece menos itens.,あなたはより少ないアイテムに提供します。,您提供更少的物品。,您提供更少的物品。,
you_offer_not_all_wanted_items,You offer not all wanted items.,You offer not all wanted items.,Du hast nicht alle gesuchten Gegenstände geboten.,Tvoje nabidka neobsahuje vsechny pozadovane polozky!,Вы еще не собрали все предметы.,Nie oferujesz wszystkich potrzebnych przedmiotów.,Nem minden kívánt terméket kínál.,Offri non tutti gli articoli desiderati.,No ofrece todos los artículos deseados.,Vous n'offrez pas tous les articles recherchés.,Você oferece nem todos os itens desejados.,あなたはすべての必要なアイテムを提供するわけではありません。,您提供的不是全部所需物品。,您提供的不是全部所需物品。,
you_have_to_add_one_wanted_item,You have to add one wanted item.,You have to add one wanted item.,Du musst mindestens ein gesuchten Gegenstand hinzufügen.,Musite pridat pozadovanou polozku!,Вы должны добавить хотя бы один запрашиваемый предмет.,Musisz dodać jeden poszukiwany przedmiot.,Fel kell vennie egy kívánt elemet.,Devi aggiungere un elemento desiderato.,Tienes que agregar un artículo deseado.,Vous devez ajouter un élément recherché.,Você precisa adicionar um item desejado.,必要なアイテムを1つ追加する必要があります。,您必须添加一个通缉物品。,您必須添加一個通緝物品。,
key_to_open,Key to open, Key to open, Taste zum öffnen, Klic k otevreni, меню обмена, Klucz do otwarcia, Kulcs a megnyitáshoz, Chiave da aprire, Clave para abrir, Clé à ouvrir, Chave para abrir, 開くための鍵, 打开钥匙, 打開鑰匙,
hint_min_quantity," If you add an Item that is not stackable, you must use min quantity 0. If you want to have more then one, then you have to add a seperate item.","If you add an Item that is not stackable, you must use min quantity 0. If you want to have more then one, then you have to add a seperate item.","Wenn du einen Artikel hinzufügst, der nicht stapelbar ist, mußt du die Mindestmenge 0 verwenden. Wenn du mehr als einen Artikel haben möchtest, mußt du einen separaten Artikel hinzufügen.","Pokud přidáte položku, kterou nelze stohovat, musíte použít minimální množství 0. Pokud chcete mít více než jednu, musíte přidat samostatnou položku.","Если вы добавляете элемент, который не может быть составлен из стека, вы должны использовать минимальное количество 0. Если вы хотите иметь более одного элемента, вам нужно добавить отдельный элемент.","Jeśli dodasz Przedmiot, którego nie można ustawiać jeden na drugim, musisz użyć minimalnej ilości 0. Jeśli chcesz mieć więcej niż jeden, musisz dodać oddzielny przedmiot.","Ha nem egymásba rakható cikket ad hozzá, akkor a minimális mennyiséget 0-nak kell használnia. Ha egynél több is van, akkor külön tételt kell hozzáadnia.","Se si aggiunge un articolo che non è impilabile, è necessario utilizzare la quantità minima 0. Se si desidera averne più di uno, è necessario aggiungere un articolo separato.","Si agrega un artículo que no es apilable, debe usar la cantidad mínima 0. Si desea tener más de uno, debe agregar un artículo separado.","Si vous ajoutez un article qui n'est pas empilable, vous devez utiliser la quantité minimale 0. Si vous voulez en avoir plus d'un, vous devez ajouter un article séparé.","Se você adicionar um item que não seja empilhável, deverá usar a quantidade mínima 0. Se você quiser ter mais de um, precisará adicionar um item separado.",スタックできないアイテムを追加する場合は、最小数量0を使用する必要があります。1つ以上にする場合は、別のアイテムを追加する必要があります。,如果添加了不可堆叠的商品，则必须使用最小数量0。如果要多于一个，则必须添加单独的商品。,如果添加了不可堆疊的商品，則必須使用最小數量0。如果要多於一個，則必須添加單獨的商品。,
no_category,no category,no category,Keine Kategorie,žádná kategorie,нет категории,bez kategorii,nincs kategória,nessuna categoria,Ninguna Categoria,pas de catégorie,nenhuma categoria,カテゴリーなし,没有类别,沒有類別,
transmitter,transmitter,transmitter,Sender,vysílač,передатчик,nadajnik,adó,trasmettitore,transmisor,émetteur,transmissor,送信機,发射机,發射機,
clothes,clothes,clothes,Kleider,oblečení,одежда,ubranie,ruházat,Abiti,ropa,vêtements,roupas,服,衣服,衣服,
pelt,pelt,pelt,Fell,kožešina,шкура,skóra,szőrme,pelle,piel,peau,pelt,毛皮,毛皮,毛皮,
ammo,ammo,ammo,Munition,munice,боеприпасы,amunicja,lőszer,munizioni,munición,munitions,munição,弾薬,弹药,彈藥,
lights,lights,lights,Beleuchtung,světla,огни,światła,Lámpák,luci,luces,lumières,luzes,ライト,灯,燈,
mag,mag,mag,Magazine,mag,магнитный,mag,mag,MAG,revista,mag,mag,マグ,磁,磁,
navigation,navigation,navigation,Navigation,navigace,навигация,nawigacja,navigáció,navigazione,navegación,la navigation,navegação,航海,导航,導航,
weapon,weapon,weapon,Waffe,zbraň,оружие,broń,fegyver,arma,arma,arme,arma,武器,武器,武器,
build_items,build items,build items,zum Bauen,stavět předměty,строить предметы,budować przedmioty,építsen elemeket,costruire oggetti,construir artículos,construire des éléments,construir itens,ビルドアイテム,建造物品,建造物品,
car,car,car,Auto,Vozidlo,машина,samochód,autó,auto,coche,voiture,carro,車,汽车,汽車,
store_items,store items,store items,Gegenstände lagern,ukládat položky,хранить предметы,przechowywać przedmioty,tárolja az elemeket,conservare gli articoli,almacenar artículos,stocker des articles,itens da loja,店舗アイテム,存放物品,存放物品,
medicine,medicine,medicine,Medizin,lék,лекарство,Medycyna,gyógyszer,medicinale,medicamento,médicament,medicamento,薬,药物,藥物,
transport,transport,transport,Transport,doprava,транспорт,transport,szállítás,trasporto,transporte,transport,transporte,輸送,运输,運輸,
food,food,food,Essen,jídlo,питание,jedzenie,étel,cibo,comida,aliments,Comida,食物,餐饮,餐飲,
tent,tent,tent,Zelt,stan,палатка,namiot,sátor,tenda,tienda,tente,barraca,テント,帐篷,帳篷,
fireplace,fireplace,fireplace,Feuer,krb,камин,kominek,kandalló,camino,hogar,cheminée,lareira,暖炉,壁炉,壁爐,
weapon_part,weapon part,weapon part,Waffenteile,část zbraně,часть оружия,część broni,fegyver része,parte dell'arma,parte del arma,pièce d'arme,parte da arma,武器パーツ,武器部分,武器部分,
meleeWeapon,melee weapon,melee weapon,Nahkampfwaffe,zbraň na blízko,оружие ближнего боя,Broń biała,közelharci fegyver,arma da mischia,arma cuerpo a cuerpo,arme de mêlée,arma branca,近接武器,近战武器,近戰武器,
all, all, all, alle, Všechno, все, wszystko, minden, tutti, todas, tout, todos, すべて, 所有, 所有,
quantity_hint, Quantity 0 means this item is 1, Quantity 0 means this item is 1," Menge 0 bedeutet, dass dieser Artikel 1 ist"," Množství 0 znamená, že tato položka je 1"," Количество 0 означает, что данный элемент равен 1"," Ilość 0 oznacza, że ta pozycja jest 1"," Mennyiség 0 azt jelenti, hogy ez a tétel 1", Quantità 0 significa che questo articolo è 1, La cantidad 0 significa que este artículo es 1, La quantité 0 signifie que cet article est 1, Quantidade 0 significa que este item é 1, 数量0は、このアイテムが1であることを意味します, 数量0代表此物品为1, 数量0代表此物品为1,
